dataset,target,target_type,n_transitions,mean_prevalence,min_prevalence,max_prevalence
ELSA full,ARMSA,ADL,8,0.111181862673738,0.1064931430170725,0.1199022113568174
ELSA full,BATHA,ADL,8,0.10297650450277057,0.0914935707220573,0.1208333333333333
ELSA full,BEDA,ADL,8,0.06199649516337927,0.0556398583712696,0.0657710607332773
ELSA full,CHAIRA,ADL,8,0.253737327060956,0.2415924826904055,0.268018018018018
ELSA full,CLIM1A,ADL,8,0.15227101087719888,0.1458017197774405,0.1611290143349261
ELSA full,CLIMSA,ADL,8,0.3478917969478318,0.3187457703586736,0.3783783783783784
ELSA full,COMMUNA,ADL,7,0.03478515508707431,0.0001072501072501,0.0450601735236495
ELSA full,DANGERA,ADL,6,0.017952942947634335,0.0168150346191889,0.019113234803867
ELSA full,DIMEA,ADL,8,0.06031731445971149,0.0542685542685542,0.0653512454520011
ELSA full,DRESSA,ADL,8,0.1318832387417212,0.1213625084592826,0.1369583869583869
ELSA full,EATA,ADL,8,0.025529143146720324,0.0233615221987315,0.0292471312622446
ELSA full,HOUSEWKA,ADL,8,0.15981357861833792,0.1513647642679901,0.1704204204204204
ELSA full,LIFTA,ADL,8,0.23582898399911628,0.2202797202797203,0.2564350064350064
ELSA full,MAPA,ADL,8,0.05334023351309714,0.0466122650840751,0.0599528099528099
ELSA full,MEALSA,ADL,8,0.05318551886473959,0.0498229640870005,0.0597537083683179
ELSA full,MEDSA,ADL,8,0.027350893412480762,0.0216645216645216,0.0362440526168485
ELSA full,MONEYA,ADL,8,0.03755967386534944,0.033033033033033,0.044080604534005
ELSA full,PHONEA,ADL,8,0.02916967410665355,0.023058773058773,0.035264483627204
ELSA full,PUSHA,ADL,8,0.18008457914643322,0.1682833295736521,0.1890625
ELSA full,SHOPA,ADL,8,0.09713463668553013,0.0920369952628017,0.103125
ELSA full,SITA,ADL,8,0.13222594661946,0.1182479708928071,0.1462239583333333
ELSA full,STOOPA,ADL,8,0.3805499105538034,0.3586241780475468,0.3968653792331374
ELSA full,TOILTA,ADL,8,0.03823009658154794,0.0328185328185328,0.0449202350965575
ELSA full,WALK100A,ADL,8,0.1336594302921718,0.1220283257460799,0.1442382486942993
ELSA full,WALKRA,ADL,8,0.03761269919706412,0.0340161861406171,0.0411418975650713
ELSA full,ANGINE,Disease,8,0.0608545658198664,0.0146935348446683,0.0938802083333333
ELSA full,ARTHRE,Disease,8,0.38547124065762284,0.3642213642213642,0.4199552197033305
ELSA full,ASTHMAE,Disease,8,0.11255705487372192,0.1066997518610421,0.1274131274131274
ELSA full,CANCRE,Disease,8,0.06075394814234882,0.0466616084977238,0.0801847187237615
ELSA full,CATRACTE,Disease,8,0.24053415910693038,0.1757829257829258,0.3478869297509096
ELSA full,CONHRTFE,Disease,8,0.0072225375293489625,0.0048052604957005,0.0107752588860901
ELSA full,DIABE,Disease,8,0.10894093498701789,0.0643500643500643,0.1275964391691394
ELSA full,HCHOLE,Disease,8,0.33099489155940914,0.1855426855426855,0.3635306553911205
ELSA full,HEARTE,Disease,8,0.030009490489678277,0.0111540111540111,0.0640917996081724
ELSA full,HIBPE,Disease,8,0.3903486859290008,0.3157443157443157,0.437890625
ELSA full,HIPE,Disease,8,0.006307642128112637,0.0051480051480051,0.0076966134900643
ELSA full,HRTATTE,Disease,8,0.05281505383264526,0.0144136579904841,0.0657561962569549
ELSA full,HRTMRE,Disease,8,0.040398043069863325,0.0257486705849426,0.0520833333333333
ELSA full,HRTRHME,Disease,8,0.0882083247777009,0.0722865722865722,0.105835806132542
ELSA full,LUNGE,Disease,8,0.054452873013269315,0.0481790591805766,0.0671385671385671
ELSA full,OSTEOE,Disease,8,0.0779405517060663,0.0645645645645645,0.0936188077246011
ELSA full,PARKINE,Disease,8,0.0076781039575,0.006006006006006,0.0090257171117705
ELSA full,PSYCHE,Disease,8,0.09106173594223732,0.0735677083333333,0.1033630069238377
ELSA full,STROKE,Disease,8,0.04812626059812035,0.038762944304506,0.053536102868447
