dataset,target,target_type,n_transitions,mean_prevalence,min_prevalence,max_prevalence
ELSA shared,ARMSA,ADL,8,0.111181862673738,0.1064931430170725,0.1199022113568174
ELSA shared,BATHA,ADL,8,0.10297650450277057,0.0914935707220573,0.1208333333333333
ELSA shared,BEDA,ADL,8,0.06199649516337927,0.0556398583712696,0.0657710607332773
ELSA shared,CHAIRA,ADL,8,0.253737327060956,0.2415924826904055,0.268018018018018
ELSA shared,CLIM1A,ADL,8,0.15227101087719888,0.1458017197774405,0.1611290143349261
ELSA shared,CLIMSA,ADL,8,0.3478917969478318,0.3187457703586736,0.3783783783783784
ELSA shared,DIMEA,ADL,8,0.06031731445971149,0.0542685542685542,0.0653512454520011
ELSA shared,DRESSA,ADL,8,0.1318832387417212,0.1213625084592826,0.1369583869583869
ELSA shared,EATA,ADL,8,0.025529143146720324,0.0233615221987315,0.0292471312622446
ELSA shared,LIFTA,ADL,8,0.23582898399911628,0.2202797202797203,0.2564350064350064
ELSA shared,MONEYA,ADL,8,0.03755967386534944,0.033033033033033,0.044080604534005
ELSA shared,PHONEA,ADL,8,0.02916967410665355,0.023058773058773,0.035264483627204
ELSA shared,PUSHA,ADL,8,0.18008457914643322,0.1682833295736521,0.1890625
ELSA shared,SHOPA,ADL,8,0.09713463668553013,0.0920369952628017,0.103125
ELSA shared,STOOPA,ADL,8,0.3805499105538034,0.3586241780475468,0.3968653792331374
ELSA shared,TOILTA,ADL,8,0.03823009658154794,0.0328185328185328,0.0449202350965575
ELSA shared,WALKRA,ADL,8,0.03761269919706412,0.0340161861406171,0.0411418975650713
ELSA shared,ARTHRE,Disease,8,0.38547124065762284,0.3642213642213642,0.4199552197033305
ELSA shared,CANCRE,Disease,8,0.06075394814234882,0.0466616084977238,0.0801847187237615
ELSA shared,DIABE,Disease,8,0.10894093498701789,0.0643500643500643,0.1275964391691394
ELSA shared,HEARTE,Disease,8,0.030009490489678277,0.0111540111540111,0.0640917996081724
ELSA shared,HIBPE,Disease,8,0.3903486859290008,0.3157443157443157,0.437890625
ELSA shared,LUNGE,Disease,8,0.054452873013269315,0.0481790591805766,0.0671385671385671
ELSA shared,STROKE,Disease,8,0.04812626059812035,0.038762944304506,0.053536102868447
HRS shared,ARMSA,ADL,9,0.1711788375282054,0.1554861488321564,0.1839296543359612
HRS shared,BATHA,ADL,9,0.07301266052536495,0.0608772286624635,0.0798909751665657
HRS shared,BEDA,ADL,9,0.06865287357119564,0.0577561578256505,0.0747686766441035
HRS shared,CHAIRA,ADL,9,0.38437635699162,0.337089552238806,0.4089129072681704
HRS shared,CLIM1A,ADL,9,0.18967739395190858,0.1727053970436576,0.2043870438704387
HRS shared,CLIMSA,ADL,9,0.45960438676210214,0.4408676324059171,0.4793268063759204
HRS shared,DIMEA,ADL,9,0.07438058822577898,0.0690099748931261,0.0808057057763147
HRS shared,DRESSA,ADL,9,0.1017495150463192,0.0914084220519427,0.1126589945487583
HRS shared,EATA,ADL,9,0.0360598716847021,0.0306523803065238,0.0418622848200313
HRS shared,LIFTA,ADL,9,0.24374398996210583,0.2140195943148889,0.2620072419211587
HRS shared,MONEYA,ADL,9,0.06770057390875488,0.0568908030008335,0.0794383890633659
HRS shared,PHONEA,ADL,9,0.044952119722771286,0.0370811615785554,0.0550199858923113
HRS shared,PUSHA,ADL,9,0.2661185175119961,0.2457743631217145,0.291882831830154
HRS shared,SHOPA,ADL,9,0.09571013035550681,0.08602447963488,0.1026324786324786
HRS shared,STOOPA,ADL,9,0.45959106792424126,0.447798082684242,0.4843331758778145
HRS shared,TOILTA,ADL,9,0.06094685785269855,0.0563543599257884,0.0667293233082706
HRS shared,WALKRA,ADL,9,0.07143743690395744,0.0640764849471114,0.0764663111972855
HRS shared,ARTHRE,Disease,9,0.5816003721684198,0.5475352112676056,0.613503164804251
HRS shared,CANCRE,Disease,9,0.14891010037276478,0.1333965330444203,0.1616785184027506
HRS shared,DIABE,Disease,9,0.2353460348540478,0.1781720015426147,0.3001037651941891
HRS shared,HEARTE,Disease,9,0.23761276143111085,0.2166847237269772,0.2531061967648668
HRS shared,HIBPE,Disease,9,0.5896860821740401,0.527965872156013,0.6386747702342128
HRS shared,LUNGE,Disease,9,0.09805928898883558,0.0801733477789815,0.1140675956122146
HRS shared,STROKE,Disease,9,0.08429098644831425,0.0734019501625135,0.0917988525143435
